customer_sentiment,conversation
neutral, hi tom im trying to log in to my account to purchase an oven toaster grill otg but im unable to proceed as its asking for mobile number or email verification can you help me with that  my registered mobile number is 1 1234567890  oh im sorry i might have registered with a different number can you please check with my email address instead its johndoeemailcom  okay i received the code what do i do with it  okay i entered the code and its verified now thank you for your help  no thats all thank you
neutral, hi alex i recently received an email from brownbox requesting me to ship back the computer monitor i purchased last week can you please tell me why i am being asked to ship it back  yes its 789101  oh i see that makes sense can you guide me through the process of returning the monitor  okay that sounds straightforward thank you for explaining the process to me  no thats all for now thank you for your help  you too goodbye
neutral, hi sarah i am calling because i am unable to click the cancel button for my juicermixergrinder that i recently purchased from your website  sure my order number is 987654 and my email address is janedoeemailcom agent puts the  on hold to check the account details  i would like to go for a replacement  okay i am on the return or replace items page  okay i have submitted the request whats next  okay but what about the cancel button i still cant click it  alright thank you so much for your help  no thats all for now thank you again  thank you you too goodbye
neutral, hi i am facing an issue while logging into my account i am getting an error message saying that i have exceeded the number of attempts to enter the correct verification code  sure my email address is johndoegmailcom and my order number is bb98765432 agent puts the  on hold for a minute  okay i will try again in a few minutes after a few minutes  i tried logging in again but i am still getting the same error message  my phone number is 1234567890  okay let me check after a few minutes  yes i received the new verification code and i was able to log in successfully thank you for your help  no thats all thank you for your assistance  thank you you too goodbye
negative, hi alex im trying to reactivate my account to purchase a wet grinder but its not letting me log in  sure my email address is johnsmithemailcom and my phone number is 1234567890  what why was it deactivated i never received any notification about it  okay please do that i need to purchase the wet grinder urgently  my name is john smith my billing address is 123 main street anytown usa and the last four digits of my credit card are 1234  okay let me try after a few seconds yes its working now thank you for your help  no thats all but im not happy with the way my account was deactivated without any notification i hope this doesnt happen again  okay thank you  you too goodbye
neutral, hi rachel i was browsing your website for a pair of shoes and i noticed that the one i want is currently out of stock can i still order it  yes its the adidas ultraboost 21 in black item number 123456  yes please i really want a pair of comfortable running shoes  yes that sounds good can you tell me when the adidas ultraboost 21 will be back in stock  okay ill do that thank you for your help  no thats all thank you for helping me find an alternative pair of shoes  you too goodbye
negative, hi sarah i received my dslr camera yesterday and im having trouble installing it can you help me with the installation process  yes my order number is 98765 and the product is canon eos 90d dslr camera  is on hold for three minutes  yes i have installed the battery and memory card  okay i turned on the camera but im not seeing any onscreen instructions  is on hold for five minutes  the screen is blank and there are no error messages  yes please escalate the issue to your supervisor  no thats all thank you for your help  goodbye
negative, hi sarah this is jane i have been trying to verify my mobile number and email address to place an order for a kitchen chimney but i am not receiving the otp or verification code  yes my mobile number is 9876543210 and my email address is janeemailcom  no i havent received any codes yet  i have checked all folders but i havent received any codes  yes i have received the codes now thank you sarah  no thats all but im not happy with the delay in receiving the codes  okay thank you  sure i will thank you sarah
neutral, hi i recently placed an order for a smartwatch on your website but i need to cancel it can you help me with that  yes its bb789012 agent puts the  on hold for a few minutes  yes thats fine  no thats all thank you for your help  you too goodbye
neutral, hi sarah i am calling regarding my refrigerator which i bought from brownbox last year i seem to have lost the warranty card and i need to claim warranty for it can you help me with that  yes its abc123  the date of purchase was 15th june 2020 and the order number was bb123456  sure my name is john smith and my address is 1234 main street anytown usa my phone number is 1234567890  okay that sounds good will i need to pay for anything  understood thank you for your help sarah i appreciate it  no thats all for now thank you again
negative, hi sarah im having issues with the delivery of my air conditioner it was supposed to be delivered yesterday but the delivery person didnt show up  sure my order number is 123456789 and my email address is abcgmailcom  no i didnt receive any notification i was at home the entire day and no one came to deliver it  my address is 123 main street and i would prefer the delivery between 9 am to 12 pm  no thats all but im really disappointed that the delivery person didnt even attempt to deliver it again and i had to call  support to get it rescheduled  okay thank you for your help
neutral, hi sarah i recently received a food processor from brownbox but its not working correctly i would like to return or exchange it  sure the order number is bb987654 and the items name is xyz food processor agent puts the  on hold briefly to look up the information  im not sure whats the difference between the two  i see i would like to exchange the item please  its not chopping vegetables properly  no i havent  okay let me check  puts the agent on hold for a few minutes  the blades look fine to me  alright let me try  tries using the food processor again and confirms that its still not working properly  its still not working  sure my shipping address is 123 main street anytown usa  no thats all thank you for your help sarah  thank you sarah you too goodbye
